Code,Longitude,Latitude,County,State,City,Name,ID2,ID,Depart,
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,896.5,897,0,0
RSW,-81.75516667,26.53616667,USA,FL,Ft. Myers,Southwest Florida International,897,897,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,897.5,898,0,0
SAN,-117.1896567,32.73355611,USA,CA,San Diego,San Diego International-Lindbergh,898,898,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,898.5,899,0,0
SAT,-98.46977778,29.53369444,USA,TX,San Antonio,San Antonio International,899,899,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,899.5,900,0,0
SAV,-81.20213889,32.12758333,USA,GA,Savannah,Savannah International,900,900,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,900.5,901,0,0
SDF,-85.736,38.17438889,USA,KY,Louisville,Louisville International-Standiford,901,901,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,901.5,902,0,0
SEA,-122.3093131,47.44898194,USA,WA,Seattle,Seattle-Tacoma Intl,902,902,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,902.5,903,0,0
SFO,-122.3748433,37.61900194,USA,CA,San Francisco,San Francisco International,903,903,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,903.5,904,0,0
SJU,-66.00183333,18.43941667,USA,PR,San Juan,Luis Munoz Marin International,904,904,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,904.5,905,0,0
SLC,-111.9777731,40.78838778,USA,UT,Salt Lake City,Salt Lake City Intl,905,905,1,0
